Descricao,Quantidade,TotalVenda
ISOPOR 30MM,27.0,376.3
KIT ESCOLAR 1 GRAU WALEU,4.0,34.0
KIT ESCOLAR LEOLEO LAPIS,7.0,101.5
KIT LAPIS EVOL BOR CAN 5,3.0,15.0
KIT NORMOGRAFO WALEU,1.0,11.0
LACO FACIL DECORATIVO 18,100.0,75.0
LAMINA ESTILETE GARGO UN,11.0,11.0
LAMINA PARA ESTILETE 9MM,8.0,4.8
LAP GRAF BAZE SEXTRAVADO,12.0,9.6
LAPIS  CERA ESTACA BR,4.0,5.6
LAPIS 6 B CIS,1.0,3.0
LAPIS CERA CHOCOLIX GIZA,8.0,60.0
LAPIS COMUM FABER CASTEL,7.0,11.9
LAPIS COMUM GLITS FABER,7.0,12.6
LAPIS COR ACRILEX G,7.0,94.5
LAPIS COR BIC PREMIUM KI,10.0,165.0
LAPIS COR FAB CORAMOR 12,10.0,70.0
LAPIS COR LEO LEO,11.0,44.0
LAPIS COR LEO LEO REDOND,12.0,93.6
LAPIS COR LEOELEO APAGAV,3.0,34.5
LAPIS COR LEOLEO FLEX 24,3.0,45.0
LAPIS COR MAPED AQUARELA,1.0,33.7
LAPIS COR STTAEDTLER 185,8.0,120.0
LAPIS DE COR BRW ECO,17.0,110.5
LAPIS DE COR FC ECOLAPIS,17.0,331.5
LAPIS DE COR G 12CORES P,39.0,234.0
LAPIS DE COR LEOLEO 4449,4.0,70.0
LAPIS FABER CASTELL 4B,2.0,7.8
LAPIS FABER CASTELL 5B,2.0,8.5
LAPIS FABER CASTELL 6B,44.0,211.0
LAPIS GRAF BIC REDO EVOL,160.0,157.6
LAPIS GRAF BRW SORT LP72,24.0,28.8
LAPIS GRAF LEOLEO CB0R P,48.0,57.6
LAPIS GRAF MAPED PIXEL,4.0,7.2
LAPIS GRAFIT BIC EVOL C,86.0,120.1
LAPIS HB S2 BRW,36.0,43.2
LAPIS HIDRO NEO PEN GIGA,16.0,199.6
TOTALIZACAO,9256.0,37321.4
LAPIS HIDROCOR ACRILEX,7.0,89.3
LAPIS HIDROCOR C6 BAZZE,5.0,20.0
LAPIS HIDROCOR FC CARAS,1.0,17.8
LAPIS HIDROCOR NEO PENPE,18.0,198.0
LAPIS PRETO HB GAME,7.0,8.4
LAPIS PRETP HB TABUADA,40.0,40.0
LAPIS TRILUX AZUL PONTA,2.0,2.8
LAPISEIRA BIC 05,11.0,39.9
LAPISEIRA CRISTAL 2.0,13.0,65.0
LAPISEIRA SPIRO,2.0,12.0
LAPISEIRA TOM PASTEL BRW,49.0,242.6
LAPISERA COLOR GRID,2.0,9.0
LAPIZEIRA BRW 07 TOM PAS,6.0,21.0
LER E COLORIR CLASSICO,14.0,77.0
LETRAS E NUMEROS 55MM VA,2.0,40.0
LIC ATIV DIVER TURMA DA,1.0,11.0
LIGA SUP AMARELA N18 500,3.0,90.0
LIV  APRE . E INCRIVEL P,1.0,6.0
LIV  COLOR COMFY COZY RS,1.0,52.0
